9606.ENSP00000155093	9606.ENSP00000346986	ZFY	WAC	9606	0.418	0	0	0.252	0	0.046	0	0.25
9606.ENSP00000155093	9606.ENSP00000367203	ZFY	KDM6A	9606	0.457	0	0	0	0.087	0.117	0	0.381
9606.ENSP00000196489	9606.ENSP00000379464	ZNF416	ZNF134	9606	0.483	0	0	0.073	0.466	0	0	0
9606.ENSP00000206595	9606.ENSP00000499238	G2E3	NUSAP1	9606	0.449	0	0	0	0.243	0	0	0.302
9606.ENSP00000206595	9606.ENSP00000328228	G2E3	CDCA2	9606	0.58	0	0	0	0.18	0	0	0.509
9606.ENSP00000206595	9606.ENSP00000247191	G2E3	DLGAP5	9606	0.6	0	0	0	0.285	0	0	0.464
9606.ENSP00000215631	9606.ENSP00000350633	GADD45B	SERTAD1	9606	0.536	0	0	0	0.461	0	0	0.174
9606.ENSP00000215631	9606.ENSP00000306245	GADD45B	FOS	9606	0.627	0	0	0	0.267	0	0	0.511
9606.ENSP00000215631	9606.ENSP00000448665	GADD45B	DDIT3	9606	0.644	0	0	0	0.15	0	0	0.599
9606.ENSP00000215631	9606.ENSP00000239223	GADD45B	DUSP1	9606	0.669	0	0	0	0.42	0	0	0.453
9606.ENSP00000215631	9606.ENSP00000360266	GADD45B	JUN	9606	0.702	0	0	0	0.453	0	0	0.478
9606.ENSP00000215631	9606.ENSP00000344352	GADD45B	ATF3	9606	0.824	0	0	0	0.445	0	0	0.697
9606.ENSP00000216489	9606.ENSP00000362820	ALKBH1	SRSF3	9606	0.403	0	0	0	0.05	0	0	0.398
9606.ENSP00000216489	9606.ENSP00000321810	ALKBH1	TRIT1	9606	0.421	0	0	0	0.186	0	0	0.318
9606.ENSP00000216489	9606.ENSP00000379847	ALKBH1	ZNF143	9606	0.534	0	0	0	0.534	0	0	0
9606.ENSP00000216489	9606.ENSP00000371858	ALKBH1	NOP2	9606	0.612	0	0	0	0.092	0	0	0.59
9606.ENSP00000216489	9606.ENSP00000397673	ALKBH1	ALKBH8	9606	0.953	0	0	0	0.109	0	0	0.949
9606.ENSP00000220429	9606.ENSP00000278070	GABPB1	PPRC1	9606	0.598	0	0	0	0.074	0	0.5	0.202
9606.ENSP00000220429	9606.ENSP00000355471	GABPB1	TFB2M	9606	0.85	0	0	0	0.09	0	0.5	0.698
9606.ENSP00000220429	9606.ENSP00000328004	GABPB1	YAF2	9606	0.895	0	0	0	0.072	0.239	0	0.864
9606.ENSP00000221452	9606.ENSP00000344352	RELB	ATF3	9606	0.412	0	0	0	0.108	0.094	0	0.33
9606.ENSP00000221452	9606.ENSP00000358294	RELB	CD160	9606	0.459	0	0	0	0	0	0	0.46
9606.ENSP00000221452	9606.ENSP00000381601	RELB	MX1	9606	0.471	0	0	0	0.163	0.097	0	0.356
9606.ENSP00000221452	9606.ENSP00000306245	RELB	FOS	9606	0.499	0	0	0	0.067	0.094	0	0.455
9606.ENSP00000221452	9606.ENSP00000360266	RELB	JUN	9606	0.581	0	0	0	0.069	0.093	0	0.543
9606.ENSP00000221452	9606.ENSP00000362179	RELB	ZC3H12A	9606	0.606	0	0	0	0.403	0	0	0.367
9606.ENSP00000221452	9606.ENSP00000312988	RELB	NFKBIB	9606	0.993	0	0	0	0.132	0.497	0	0.986
9606.ENSP00000227520	9606.ENSP00000346120	CCDC86	DDX21	9606	0.464	0	0	0	0.177	0.209	0	0.243
9606.ENSP00000229330	9606.ENSP00000367203	HCFC2	KDM6A	9606	0.4	0	0	0	0.059	0.329	0	0.126
9606.ENSP00000229330	9606.ENSP00000364037	HCFC2	TEX10	9606	0.558	0	0	0	0	0	0.54	0.08
9606.ENSP00000233630	9606.ENSP00000328004	PCGF1	YAF2	9606	0.999	0	0	0	0	0.833	0	0.994
