Accession,Organismo,Gen,Producto,Proteína
GQ845446.1,human papillomavirus 124,E6,transforming protein E6,ADH29826.1
GQ845446.1,human papillomavirus 124,E7,transforming protein E7,ADH29827.1
GQ845446.1,human papillomavirus 124,E1,replication protein E1,ADH29828.1
GQ845446.1,human papillomavirus 124,E2,regulatory protein E2,ADH29829.1
GQ845446.1,human papillomavirus 124,E4,hypothetical protein,ADH29830.1
GQ845446.1,human papillomavirus 124,L2,minor capsid protein L2,ADH29831.1
GQ845446.1,human papillomavirus 124,L1,major capsid protein L1,ADH29832.1
HM748620.1,Human papillomavirus,L1,major capsid protein L1,ADX99467.1
U85662.1,Human papillomavirus,ND,major capsid protein L1,AAB61647.1
Z95967.1,Human papillomavirus,ND,ND,ND
Z95969.1,Human papillomavirus,ND,ND,ND
