Accession,Organismo,Gen,Producto,Proteína
KY471125.1,Zaire ebolavirus,NP,nucleoprotein,AQA27614.1
KY471125.1,Zaire ebolavirus,VP35,polymerase cofactor VP35,AQA27615.1
KY471125.1,Zaire ebolavirus,VP40,matrix protein VP40,AQA27616.1
KY471125.1,Zaire ebolavirus,GP,envelope glycoprotein,AQA27619.1
KY471125.1,Zaire ebolavirus,sGP,small secreted glycoprotein GP,AQA27617.1
KY471125.1,Zaire ebolavirus,ssGP,super small secreted glycoprotein GP,AQA27618.1
KY471125.1,Zaire ebolavirus,VP30,minor nucleoprotein VP30,AQA27620.1
KY471125.1,Zaire ebolavirus,VP24,membrane-associated protein VP24,AQA27621.1
KY471125.1,Zaire ebolavirus,L,RNA-directed RNA polymerase L,AQA27622.1
KY785939.1,Ebola virus,NP,nucleoprotein,ARG43245.1
KY785939.1,Ebola virus,VP35,polymerase cofactor VP35,ARG43246.1
KY785939.1,Ebola virus,VP40,matrix protein VP40,ARG43247.1
KY785939.1,Ebola virus,GP,envelope glycoprotein,ARG43250.1
KY785939.1,Ebola virus,sGP,small secreted glycoprotein GP: sGP,ARG43248.1
KY785939.1,Ebola virus,ssGP,super small secreted glycoprotein GP,ARG43249.1
KY785939.1,Ebola virus,VP30,minor nucleoprotein VP30,ARG43251.1
KY785939.1,Ebola virus,VP24,membrane-associated protein VP24,ARG43252.1
KY785939.1,Ebola virus,L,RNA-directed RNA polymerase,ARG43253.1
KY785940.1,Ebola virus,NP,nucleoprotein,ARG43254.1
KY785940.1,Ebola virus,VP35,polymerase cofactor VP35,ARG43255.1
KY785940.1,Ebola virus,VP40,matrix protein VP40,ARG43256.1
KY785940.1,Ebola virus,GP,envelope glycoprotein,ARG43259.1
KY785940.1,Ebola virus,sGP,small secreted glycoprotein GP: sGP,ARG43257.1
KY785940.1,Ebola virus,ssGP,super small secreted glycoprotein GP,ARG43258.1
KY785940.1,Ebola virus,VP30,minor nucleoprotein VP30,ARG43260.1
KY785940.1,Ebola virus,VP24,membrane-associated protein VP24,ARG43261.1
KY785940.1,Ebola virus,L,RNA-directed RNA polymerase,ARG43262.1
KY785948.1,Ebola virus,NP,nucleoprotein,ARG43326.1
KY785948.1,Ebola virus,VP35,polymerase cofactor VP35,ARG43327.1
KY785948.1,Ebola virus,VP40,matrix protein VP40,ARG43328.1
KY785948.1,Ebola virus,GP,envelope glycoprotein,ARG43331.1
KY785948.1,Ebola virus,sGP,small secreted glycoprotein GP: sGP,ARG43329.1
KY785948.1,Ebola virus,ssGP,super small secreted glycoprotein GP,ARG43330.1
KY785948.1,Ebola virus,VP30,minor nucleoprotein VP30,ARG43332.1
KY785948.1,Ebola virus,VP24,membrane-associated protein VP24,ARG43333.1
KY785948.1,Ebola virus,L,RNA-directed RNA polymerase,ARG43334.1
KY785965.1,Ebola virus,NP,nucleoprotein,ARG43479.1
KY785965.1,Ebola virus,VP35,polymerase cofactor VP35,ARG43480.1
KY785965.1,Ebola virus,VP40,matrix protein VP40,ARG43481.1
KY785965.1,Ebola virus,GP,envelope glycoprotein,ARG43484.1
KY785965.1,Ebola virus,sGP,small secreted glycoprotein GP: sGP,ARG43482.1
KY785965.1,Ebola virus,ssGP,super small secreted glycoprotein GP,ARG43483.1
KY785965.1,Ebola virus,VP30,minor nucleoprotein VP30,ARG43485.1
KY785965.1,Ebola virus,VP24,membrane-associated protein VP24,ARG43486.1
KY785965.1,Ebola virus,L,RNA-directed RNA polymerase,ARG43487.1
