Accession,Organismo,Gen,Producto,Proteína
OR084860.1,Zaire ebolavirus,ND,NP,WWV92649.1
OR084860.1,Zaire ebolavirus,ND,VP35,WWV92650.1
OR084860.1,Zaire ebolavirus,ND,VP40,WWV92651.1
OR084860.1,Zaire ebolavirus,ND,GP,WWV92654.1
OR084860.1,Zaire ebolavirus,ND,sGP,WWV92652.1
OR084860.1,Zaire ebolavirus,ND,ssGP,WWV92653.1
OR084860.1,Zaire ebolavirus,ND,VP30,WWV92655.1
OR084860.1,Zaire ebolavirus,ND,VP24,WWV92656.1
OR084860.1,Zaire ebolavirus,ND,L,WWV92657.1
OR084890.1,Zaire ebolavirus,ND,NP,WWV92919.1
OR084890.1,Zaire ebolavirus,ND,VP35,WWV92920.1
OR084890.1,Zaire ebolavirus,ND,VP40,WWV92921.1
OR084890.1,Zaire ebolavirus,ND,GP,WWV92924.1
OR084890.1,Zaire ebolavirus,ND,sGP,WWV92922.1
OR084890.1,Zaire ebolavirus,ND,ssGP,WWV92923.1
OR084890.1,Zaire ebolavirus,ND,VP30,WWV92925.1
OR084890.1,Zaire ebolavirus,ND,VP24,WWV92926.1
OR084890.1,Zaire ebolavirus,ND,L,WWV92927.1
OR084918.1,Zaire ebolavirus,ND,NP,WWV93171.1
OR084918.1,Zaire ebolavirus,ND,VP35,WWV93172.1
OR084918.1,Zaire ebolavirus,ND,VP40,WWV93173.1
OR084918.1,Zaire ebolavirus,ND,GP,WWV93176.1
OR084918.1,Zaire ebolavirus,ND,sGP,WWV93174.1
OR084918.1,Zaire ebolavirus,ND,ssGP,WWV93175.1
OR084918.1,Zaire ebolavirus,ND,VP30,WWV93177.1
OR084918.1,Zaire ebolavirus,ND,VP24,WWV93178.1
OR084918.1,Zaire ebolavirus,ND,L,WWV93179.1
OR084925.1,Zaire ebolavirus,ND,NP,WWV93234.1
OR084925.1,Zaire ebolavirus,ND,VP35,WWV93235.1
OR084925.1,Zaire ebolavirus,ND,VP40,WWV93236.1
OR084925.1,Zaire ebolavirus,ND,GP,WWV93239.1
OR084925.1,Zaire ebolavirus,ND,sGP,WWV93237.1
OR084925.1,Zaire ebolavirus,ND,ssGP,WWV93238.1
OR084925.1,Zaire ebolavirus,ND,VP30,WWV93240.1
OR084925.1,Zaire ebolavirus,ND,VP24,WWV93241.1
OR084925.1,Zaire ebolavirus,ND,L,WWV93242.1
OR084932.1,Zaire ebolavirus,ND,NP,WWV93297.1
OR084932.1,Zaire ebolavirus,ND,VP35,WWV93298.1
OR084932.1,Zaire ebolavirus,ND,VP40,WWV93299.1
OR084932.1,Zaire ebolavirus,ND,GP,WWV93302.1
OR084932.1,Zaire ebolavirus,ND,sGP,WWV93300.1
OR084932.1,Zaire ebolavirus,ND,ssGP,WWV93301.1
OR084932.1,Zaire ebolavirus,ND,VP30,WWV93303.1
OR084932.1,Zaire ebolavirus,ND,VP24,WWV93304.1
OR084932.1,Zaire ebolavirus,ND,L,WWV93305.1
