1,MN511812.1,100.000,65,0,0,226,290,1086,1150,7.29e-23,121
1,MW935576.1,100.000,63,0,0,226,288,1131,1193,9.44e-22,117
1,MW936018.1,100.000,63,0,0,226,288,1131,1193,9.44e-22,117
1,CY206857.1,100.000,63,0,0,226,288,1119,1181,9.44e-22,117
1,KJ907496.1,100.000,63,0,0,226,288,1086,1148,9.44e-22,117
1,MW935524.1,100.000,63,0,0,226,288,1131,1193,9.44e-22,117
1,MK978913.1,100.000,63,0,0,226,288,1086,1148,9.44e-22,117
1,CY206849.1,100.000,63,0,0,226,288,1119,1181,9.44e-22,117
1,CY206841.1,100.000,63,0,0,226,288,1119,1181,9.44e-22,117
1,KJ907552.1,100.000,63,0,0,226,288,1086,1148,9.44e-22,117
2,OR084925.1,100.000,51,0,0,28,78,287,337,5.04e-15,95.3
2,OR084925.1,100.000,35,0,0,361,395,303,337,3.95e-06,65.8
2,OR084918.1,100.000,51,0,0,28,78,287,337,5.04e-15,95.3
2,OR084918.1,100.000,35,0,0,361,395,303,337,3.95e-06,65.8
2,OR084860.1,100.000,51,0,0,28,78,287,337,5.04e-15,95.3
2,OR084860.1,100.000,35,0,0,361,395,303,337,3.95e-06,65.8
2,OR084932.1,100.000,51,0,0,28,78,287,337,5.04e-15,95.3
2,OR084932.1,100.000,35,0,0,361,395,303,337,3.95e-06,65.8
2,OR084890.1,100.000,51,0,0,28,78,287,337,5.04e-15,95.3
2,OR084890.1,100.000,35,0,0,361,395,303,337,3.95e-06,65.8
2,OQ348597.1,100.000,51,0,0,28,78,592,642,5.04e-15,95.3
2,OQ348597.1,100.000,35,0,0,361,395,608,642,3.95e-06,65.8
2,MT778398.1,100.000,51,0,0,28,78,549,599,5.04e-15,95.3
2,MT778398.1,100.000,35,0,0,361,395,565,599,3.95e-06,65.8
2,OR084889.1,100.000,51,0,0,28,78,587,637,5.04e-15,95.3
2,OR084889.1,100.000,35,0,0,361,395,603,637,3.95e-06,65.8
2,OR084921.1,100.000,51,0,0,28,78,631,681,5.04e-15,95.3
2,OR084921.1,100.000,35,0,0,361,395,647,681,3.95e-06,65.8
2,MT583342.1,100.000,51,0,0,28,78,641,691,5.04e-15,95.3
2,MT583342.1,100.000,35,0,0,361,395,657,691,3.95e-06,65.8
3,Z95967.1,100.000,153,0,0,15,167,85,237,3.62e-72,283
3,HM748620.1,97.386,153,4,0,15,167,65,217,1.69e-65,261
3,U85662.1,97.368,152,4,0,15,166,65,216,6.09e-65,259
3,GQ845446.1,97.368,152,4,0,15,166,6672,6823,6.09e-65,259
3,Z95969.1,85.430,151,22,0,15,165,115,265,2.29e-34,158
3,LN609273.1,84.967,153,23,0,15,167,65,217,8.22e-34,156
3,HG326198.1,84.967,153,23,0,15,167,92,244,8.22e-34,156
3,MH777305.2,84.967,153,23,0,15,167,6654,6806,8.22e-34,156
3,MF588678.1,84.967,153,23,0,15,167,6654,6806,8.22e-34,156
3,KR816183.1,84.967,153,23,0,15,167,6651,6803,8.22e-34,156
4,AY646426.1,94.783,460,0,1,122,581,790,1225,0.0,695
4,FJ455823.1,94.783,460,0,1,122,581,745,1180,0.0,695
4,GQ477297.1,94.565,460,1,1,122,581,745,1180,0.0,689
4,FJ390062.2,94.565,460,1,1,122,581,790,1225,0.0,689
4,CY005521.1,94.348,460,2,1,122,581,790,1225,0.0,684
4,DQ023146.1,94.348,460,2,1,122,581,750,1185,0.0,684
4,DQ997089.1,94.348,460,2,1,122,581,790,1225,0.0,684
4,JF795111.1,94.348,460,2,1,122,581,790,1225,0.0,684
4,CY005527.1,94.348,460,2,1,122,581,790,1225,0.0,684
4,DQ997151.1,93.478,460,6,1,122,581,790,1225,0.0,662
